Date, Num Users
2019-12-15,18929
2019-12-16,18941
2019-12-17,18952
2019-12-18,18960
2019-12-19,18975
2019-12-20,18988
2019-12-21,18994
2019-12-22,19001
2019-12-23,19008
2019-12-24,18888
2019-12-25,18901
2019-12-26,18924
2019-12-27,18936
2019-12-28,18821
2019-12-29,18826
2019-12-30,18712
2019-12-31,18732
2020-01-01,18739
2020-01-02,18755
2020-01-03,18768
2020-01-04,18779
2020-01-05,18795
2020-01-06,18814
2020-01-07,18828
2020-01-08,18845
2020-01-09,18851
2020-01-10,18857
2020-01-11,18862
2020-01-12,18867
2020-01-13,18883
2020-01-14,18893
2020-01-15,18910
2020-01-16,18924
2020-01-17,18935
2020-01-18,18948
2020-01-19,19107
2020-01-20,18985
2020-01-21,18994
2020-01-22,19005
2020-01-23,19021
2020-01-24,19009
2020-01-25,18904
2020-01-26,18914
2020-01-27,18919
2020-01-28,18801
2020-01-29,18813
2020-01-30,18693
2020-01-31,18706
2020-02-01,18717
2020-02-02,18727
2020-02-03,18736
2020-02-04,18868
2020-02-05,18760
2020-02-06,18774
2020-02-07,18789
2020-02-08,18803
2020-02-09,18685
2020-02-10,18698
2020-02-11,18708
2020-02-12,18723
2020-02-13,18740
2020-02-14,18751
2020-02-15,18767
2020-02-16,18772
2020-02-17,18788
2020-02-18,18800
2020-02-19,18819
2020-02-20,18832
2020-02-21,18846
2020-02-22,18865
2020-02-23,18877
2020-02-24,18884
2020-02-25,19036
2020-02-26,19053
2020-02-27,19077
2020-02-28,19097
2020-02-29,19086
2020-03-01,19102
2020-03-02,18977
2020-03-03,18989
2020-03-04,19007
2020-03-05,19021
2020-03-06,19036
2020-03-07,19049
2020-03-08,19055
2020-03-09,19079
2020-03-10,19095
2020-03-11,19114
2020-03-12,19135
2020-03-13,19136
2020-03-14,19142
2020-03-15,19151
2020-03-16,19168
2020-03-17,19180
2020-03-18,19190
2020-03-19,19201
2020-03-20,19213
2020-03-21,19230
2020-03-22,19089
2020-03-23,19096
2020-03-24,19108
2020-03-25,19123
2020-03-26,19145
2020-03-27,19160
2020-03-28,19171
2020-03-29,19190
2020-03-30,19207
2020-03-31,19235
2020-04-01,19246
2020-04-02,19261
2020-04-03,19274
2020-04-04,19290
2020-04-05,19300
2020-04-06,19308
2020-04-07,19186
2020-04-08,19187
2020-04-09,19202
2020-04-10,19233
2020-04-11,19109
2020-04-12,19117
2020-04-13,19007
2020-04-14,19025
2020-04-15,19038
2020-04-16,19052
2020-04-17,19087
2020-04-18,19082
2020-04-19,19095
2020-04-20,18762
2020-04-21,18668
2020-04-22,18573
2020-04-23,18491
2020-04-24,18506
2020-04-25,18502
2020-04-26,18518
2020-04-27,18628
2020-04-28,18641
2020-04-29,18668
2020-04-30,18584
2020-05-01,18599
2020-05-02,18618
2020-05-03,18630
2020-05-04,18639
2020-05-05,18656
2020-05-06,18672
2020-05-07,18675
2020-05-08,18468
2020-05-09,18486
2020-05-10,18493
2020-05-11,18268
2020-05-12,18159
2020-05-13,18176
2020-05-14,18204
2020-05-15,18229
2020-05-16,18249
2020-05-17,18249
2020-05-18,18262
2020-05-19,18278
2020-05-20,18418
2020-05-21,18434
2020-05-22,18440
2020-05-23,18447
2020-05-24,18466
2020-05-25,18475
2020-05-26,18372
2020-05-27,18391
2020-05-28,18399
2020-05-29,18297
2020-05-30,18311
2020-05-31,18328
2020-06-01,18339
2020-06-02,18343
2020-06-03,18480
2020-06-04,18492
2020-06-05,18387
2020-06-06,18404
2020-06-07,18428
2020-06-08,18456
2020-06-09,18480
2020-06-10,18616
2020-06-11,18631
2020-06-12,18644
2020-06-13,18542
2020-06-14,18560
2020-06-15,18473
2020-06-16,18480
2020-06-17,18502
2020-06-18,18518
